endpoint,batch_size,panel_id,panel_id_for_output,rescue_mode,gene,panel_rank,original_panel_rank,candidate_panel_rank,gain,gain_share,gain_nonzero
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,FAM166B,19,20.0,20,14.608015060424805,0.0564857343753577,True
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,RBBP8,30,,33,14.23996353149414,0.0550625662848521,True
OS,500,OS_batch_500_survival_fused_top30,OS_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,C6orf141,23,24.0,24,13.899073600769045,0.0537444256614667,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,SIAH2,18,23.0,23,21.06484603881836,0.0859621013401076,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,CLEC17A,21,26.0,26,20.50480461120605,0.0836766662666041,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,SLC4A10,13,18.0,18,17.031545639038086,0.0695028793233842,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,PSME1,8,13.0,13,15.842314720153809,0.064649827533804,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,SERPINA1,3,5.0,5,15.470657348632812,0.0631331561764339,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,GLUL,24,29.0,29,15.314523696899414,0.0624960009478519,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,MDFI,19,24.0,24,14.332280158996582,0.0584876299210583,True
PFI,500,PFI_batch_500_survival_fused_top30,PFI_batch_500_survival_fused_top30_common_top30_backfilled,candidate_backfill,RFX5,27,,32,12.95798397064209,0.0528793578265483,True
